Tweet text,labels,hashtag,cleaned_text,tokenized_lemmatized_text
“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry ,2,"['motivation', 'leadership', 'worry']",worry payment problem have joyce meyer ,"['worry', 'payment', 'problem', 'have', 'joyce', 'meyer']"
My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs ,0,"['terrible', 'firstworldprobs']",my roommate it s okay can t spell autocorrect ,"['my', 'roommate', 'it', 's', 'okay', 'can', 't', 'spell', 'autocorrect']"
No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu ,1,[],no that s cute atsu probably shy photos cherry helped uwu,"['no', 'that', 's', 'cute', 'atsu', 'probably', 'shy', 'photo', 'cherry', 'helped', 'uwu']"
"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight ",0,[],rooneys fucking untouchable isn t he been fucking dreadful again depay looked decent ish tonight,"['rooneys', 'fucking', 'untouchable', 'isn', 't', 'he', 'been', 'fucking', 'dreadful', 'again', 'depay', 'looked', 'decent', 'ish', 'tonight']"
it's pretty depressing when u hit pan on ur favourite highlighter ,3,[],it s pretty depressing u hit pan ur favourite highlighter,"['it', 's', 'pretty', 'depressing', 'u', 'hit', 'pan', 'ur', 'favourite', 'highlighter']"
@user but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant . ,0,[],pussy weak i heard stfu bitch you got threaten pregnant ,"['pussy', 'weak', 'i', 'heard', 'stfu', 'bitch', 'you', 'got', 'threaten', 'pregnant']"
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college ,3,['college'],making yearly transition excited hopeful college returner sick exhausted pessimist ,"['making', 'yearly', 'transition', 'excited', 'hopeful', 'college', 'returner', 'sick', 'exhausted', 'pessimist']"
Tiller and breezy should do a collab album. Rapping and singing prolly be fire ,1,[],tiller breezy collab album rapping singing prolly,"['tiller', 'breezy', 'collab', 'album', 'rapping', 'singing', 'prolly']"
@user broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin ,0,"['angry', 'shouldofgonewithvirgin']",broadband shocking regretting signing,"['broadband', 'shocking', 'regretting', 'signing']"
@user Look at those teef! #growl ,0,['growl'],look teef ,"['look', 'teef']"
@user @user USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke ,0,"['horrible', 'joke']",usa embarrassing watch when time guys won game ,"['usa', 'embarrassing', 'watch', 'when', 'time', 'guy', 'won', 'game']"
#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @user headquarters demanding Pak to stop exporting #terror into India ,3,"['NewYork', 'Baloch', 'terror']", several amp indian activists hold demonstrations outside headquarters demanding pak stop exporting india,"['several', 'amp', 'indian', 'activist', 'hold', 'demonstration', 'outside', 'headquarters', 'demanding', 'pak', 'stop', 'exporting', 'india']"
Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today. ,0,[],your glee filled normy dry humping recent high profile celebrity break pathetic amp wrong world today ,"['your', 'glee', 'filled', 'normy', 'dry', 'humping', 'recent', 'high', 'profile', 'celebrity', 'break', 'pathetic', 'amp', 'wrong', 'world', 'today']"
What a fucking muppet.  @user  #stalker. ,0,['stalker'],what fucking muppet ,"['what', 'fucking', 'muppet']"
